ID1	ID2	issue_type
hmdb:HMDB0039392	pubchem:23132198	improper_match
hmdb:HMDB0039392	chemspider:16161158	improper_match
hmdb:HMDB0039445	pubchem:119396	improper_match
hmdb:HMDB0039445	chemspider:106641	improper_match
hmdb:HMDB0039482	pubchem:15109870	improper_match
hmdb:HMDB0039483	pubchem:131752659	improper_match
hmdb:HMDB0039485	pubchem:131751091	improper_match
hmdb:HMDB0039525	pubchem:21582559	improper_match
hmdb:HMDB0039531	kegg:C07475	improper_match
hmdb:HMDB0039602	pubchem:5312861	improper_match
hmdb:HMDB0039602	chebi:37099	improper_match
hmdb:HMDB0039602	chemspider:4472286	improper_match
hmdb:HMDB0039627	pubchem:131752692	improper_match
hmdb:HMDB0039641	pubchem:42949	improper_match
